(1, 0.017003)
(2, 0.035277)
(3, 0.020011)
(4, 0.011491)
(5, 0.010818)
(6, 0.011603)
(7, 0.015415)
(8, 0.019563)
(9, 0.022029)
(10, 0.026177)
(11, 0.029447)
(12, 0.032212)
(13, 0.037649)
(14, 0.040284)
(15, 0.040079)
(16, 0.043946)
(17, 0.042545)
(18, 0.040807)
(19, 0.035538)
(20, 0.031857)
(21, 0.029017)
(22, 0.025691)
(23, 0.023954)
(24, 0.021880)
(25, 0.019357)
(26, 0.016349)
(27, 0.013359)
(28, 0.010893)
(29, 0.009492)
(30, 0.007306)
(31, 0.006951)
(32, 0.005437)
(33, 0.005007)
(34, 0.004223)
(35, 0.003774)
(36, 0.003494)
(37, 0.002578)
(38, 0.002429)
(39, 0.001719)
(40, 0.001812)
(41, 0.001476)
(42, 0.001046)
(43, 0.000579)
(44, 0.000953)
(45, 0.000859)
(46, 0.000934)
(47, 0.000691)
(48, 0.000523)
(49, 0.000467)
