(1, 0.026327)
(2, 0.044152)
(3, 0.024458)
(4, 0.012182)
(5, 0.005437)
(6, 0.000392)
(7, -0.001756)
(8, -0.003700)
(9, -0.005587)
(10, -0.007567)
(11, -0.009193)
(12, -0.008221)
(13, -0.007567)
(14, -0.007735)
(15, -0.006820)
(16, -0.006633)
(17, -0.005979)
(18, -0.005493)
(19, -0.005979)
(20, -0.005792)
(21, -0.006371)
(22, -0.006465)
(23, -0.005680)
(24, -0.005120)
(25, -0.004746)
(26, -0.005437)
(27, -0.003569)
(28, -0.003999)
(29, -0.003494)
(30, -0.003643)
(31, -0.002840)
(32, -0.002784)
(33, -0.002392)
(34, -0.001794)
(35, -0.001738)
(36, -0.001831)
(37, -0.001812)
(38, -0.001364)
(39, -0.001140)
(40, -0.000990)
(41, -0.000897)
(42, -0.000542)
(43, -0.000785)
(44, -0.000579)
(45, -0.000691)
(46, -0.000561)
(47, -0.000542)
(48, -0.000336)
(49, -0.000336)
